Ano,Código SH6,Valor US$ FOB Anual
1997,30269,1345963
1997,30379,299775
1997,30611,3664532
1997,30623,401
1997,50690,33129
1997,50790,264911
1997,51199,61320
1997,70990,4396
1997,80132,15518917
1997,80300,2001471
1997,80450,1085591
1997,80610,6660
1997,80711,78663
1997,80719,19358426
1997,130219,368677
1997,152110,1463103
1997,170199,13190200
1997,170410,1990600
1997,170490,6357902
1997,180631,7000
1997,180690,113583
1997,200819,211536
1997,200980,1443412
1997,220290,3740
1997,250100,3956995
1997,251612,15649
1997,261590,427497
1997,291619,28903
1997,300390,117360
1997,320649,1040
1997,340520,125
1997,392620,111
1997,392690,1286
1997,410110,14485
1997,410429,11366956
1997,410431,82752
1997,410619,46267
1997,410900,121285
1997,441510,11568
1997,520513,120964
1997,520522,57773
1997,520523,85808
1997,520524,16891
1997,520922,446761
1997,520932,4138581
1997,521215,29578
1997,551321,134558
1997,551323,14
1997,551341,80891
1997,560721,1547646
1997,560729,69657
1997,560890,650
1997,610520,10998
1997,610910,798693
1997,620520,18753
1997,620630,2654
1997,621112,1035
1997,630533,4083
1997,640199,53726
1997,640411,7283
1997,711620,39338
1997,711790,1437
1997,843610,1080
1997,847982,1987
1997,852790,1980
1997,854449,96
1997,940180,12000
1997,960621,238603
1997,960622,47692
1997,960629,23738
1997,960630,2850
1997,999802,11931
1998,20820,22
1998,30232,7907
1998,30239,185183
1998,30269,1501089
1998,30379,22460
1998,30611,2398492
1998,30613,137548
1998,40299,604
1998,50100,1940
1998,50790,46413
1998,51000,24204
1998,51199,52883
1998,70930,2329
1998,80132,13558167
1998,80240,103000
1998,80300,2230149
1998,80430,44550
1998,80450,5633796
1998,80711,125899
1998,80719,25668565
1998,90121,137
1998,120999,33000
1998,130219,539318
1998,152110,209273
1998,160413,955
1998,170199,11391000
1998,170410,1903044
1998,170490,5865898
1998,180632,9797
1998,180690,107095
1998,190110,6539
1998,190530,668
1998,200110,192
1998,200290,9058
1998,200590,31200
1998,200600,158
1998,200799,466
1998,200819,330756
1998,200870,833
1998,200980,811485
1998,210690,5544
1998,220210,1008
1998,220290,2462
1998,220820,1094
1998,220840,195
1998,220900,307
1998,250100,6980061
1998,293311,0
1998,293950,0
1998,300390,92238
1998,300490,0
1998,330126,8740
1998,330510,41
1998,340111,1628
1998,340213,932
1998,340220,606
1998,340290,270
1998,340520,967
1998,340600,4097
1998,360500,590
1998,380840,230
1998,392330,792
1998,392350,1
1998,392410,133
1998,392690,585
1998,410429,8638639
1998,410431,42908
1998,410519,13348
1998,442190,165
1998,481810,1838
1998,482020,200
1998,482110,0
1998,482390,229
1998,520512,9274
1998,520513,40501
1998,520522,61160
1998,520523,63652
1998,520532,3850
1998,520922,58661
1998,520932,4403292
1998,551341,21643
1998,560710,10140
1998,560721,1267031
1998,560729,321530
1998,560749,46
1998,560890,5618
1998,610130,324
1998,610510,11204
1998,610520,307401
1998,610711,389
1998,610910,4508814
1998,610990,212678
1998,620219,555
1998,620423,1350
1998,620462,370
1998,620520,3872
1998,621111,126
1998,621112,648
1998,630221,5919
1998,630533,148600
1998,640199,2751
1998,640219,7062
1998,640230,359
1998,640299,1854
1998,640399,1994
1998,640411,4317
1998,691110,16055
1998,691190,2257
1998,701329,41
1998,701339,74
1998,701790,3
1998,711620,53445
1998,711790,2910
1998,720421,13950
1998,732310,1293
1998,821000,173
1998,821210,261
1998,821599,76
1998,830810,1778
1998,852790,1378
1998,852812,2560
1998,890200,300000
1998,940320,3096
1998,940330,1944
1998,940350,6217
1998,940360,20951
1998,960310,245
1998,960390,735
1998,960621,496952
1998,960622,13865
1998,960629,31239
1998,960630,10474
1999,30239,823915
1999,30263,14993
1999,30269,3518610
1999,30373,3100
1999,30379,59991
1999,30410,6967
1999,30611,1552720
1999,30613,1558254
1999,50100,350
1999,50690,7172
1999,50790,43193
1999,51000,39548
1999,51199,53965
1999,70200,410
1999,70960,231
1999,70990,30
1999,71420,5406
1999,80132,19634275
1999,80300,2578654
1999,80430,2340
1999,80450,3136838
1999,80610,163
1999,80711,538132
1999,80719,24617250
1999,80720,4048
1999,80820,80
1999,90121,153
1999,100630,303
1999,130219,708678
1999,152110,1607666
1999,170111,2788000
1999,170199,8765400
1999,170410,2230616
1999,170490,6361202
1999,180632,18061
1999,180690,127692
1999,190110,484
1999,190530,60
1999,200290,4255
1999,200590,30400
1999,200799,99
1999,200819,293994
1999,200980,549743
1999,210690,808
1999,220210,604
1999,220710,2932941
1999,250100,7794898
1999,250629,12162
1999,252910,1400
1999,300390,145484
1999,340111,65
1999,340119,44
1999,340213,1865
1999,340220,1083
1999,340290,343
1999,340510,443
1999,340520,651
1999,340600,160
1999,360500,1890
1999,380840,28
1999,392330,341
1999,392410,371
1999,410422,1352294
1999,410429,2309426
1999,410431,29438
1999,410519,118671
1999,410900,11421
1999,442190,250
1999,481810,711
1999,481820,93
1999,481830,71
1999,481920,46425
1999,482390,183
1999,510510,4134
1999,520411,12024
1999,520419,24980
1999,520512,1816
1999,520513,1628
1999,520522,1329
1999,520523,1921
1999,520531,511
1999,520544,17790
1999,520710,9533
1999,520922,203225
1999,520931,52709
1999,520932,4882404
1999,520943,187869
1999,521215,5008
1999,540110,30590
1999,550953,2641
1999,551321,59369
1999,560721,701303
1999,560729,76047
1999,560819,1997
1999,560890,3500
1999,610510,5104465
1999,610520,189825
1999,610610,4121120
1999,610711,4809
1999,610910,980886
1999,610990,623980
1999,620342,358
1999,620520,4985
1999,620530,7307
1999,620630,8710
1999,620819,4461
1999,620892,374
1999,630229,9766
1999,630231,2187
1999,630260,1255
1999,630532,1726
1999,630533,278777
1999,640199,1470
1999,640219,20391
1999,640299,393
1999,640319,1459
1999,640411,14485
1999,640419,190
1999,650691,500
1999,691110,22099
1999,701329,68
1999,701339,20
1999,710310,157616
1999,711620,37113
1999,711790,4007
1999,732310,40
1999,740929,10407
1999,831000,3000
1999,840212,59200
1999,841382,2870
1999,841981,83100
1999,842129,17800
1999,842382,930
1999,847982,61600
1999,940330,890
1999,940360,31442
1999,960310,214
1999,960390,213
1999,960621,261314
1999,960622,22261
1999,960629,7251
2000,30239,2813796
2000,30269,3928562
2000,30349,716527
2000,30375,69312
2000,30379,53303
2000,30410,8547
2000,30420,1362
2000,30490,30530
2000,30611,1935810
2000,30613,13460698
2000,50300,935
2000,50790,9600
2000,51199,65930
2000,70200,83921
2000,70310,29563
2000,70930,31795
2000,70960,106177
2000,70990,132542
2000,71420,20624
2000,80119,5977
2000,80132,20459565
2000,80300,5536503
2000,80430,269685
2000,80450,1109614
2000,80610,119420
2000,80711,749922
2000,80719,20541394
2000,80720,112202
2000,81090,180
2000,130219,1042571
2000,152110,1852596
2000,170199,9360543
2000,170410,2355590
2000,170490,5220427
2000,180690,183347
2000,200290,3411
2000,200819,386373
2000,200980,684193
2000,220710,244454
2000,250100,8889993
2000,251200,1745
2000,251612,43653
2000,321290,3395
2000,321410,29016
2000,392640,93
2000,410422,3354857
2000,410900,13068
2000,460290,1551
2000,481920,14094
2000,482390,1062
2000,520812,2246633
2000,520919,4863
2000,520922,19694
2000,520931,56181
2000,520932,407029
2000,520939,3588
2000,530490,93
2000,551311,32541
2000,551321,63153
2000,560721,319113
2000,560729,302267
2000,560819,17607
2000,600210,1188
2000,610343,421
2000,610510,8850478
2000,610520,184795
2000,610610,6179155
2000,610711,780
2000,610822,12
2000,610910,21331592
2000,610990,50742
2000,611030,7060
2000,611790,288758
2000,620342,39792
2000,620520,258626
2000,620530,43285
2000,620590,9535
2000,620819,3692
2000,621132,519
2000,621210,5
2000,630419,470
2000,630520,13073
2000,630532,124818
2000,630533,560296
2000,640219,12936
2000,640319,2633
2000,640399,2898
2000,640411,12297
2000,680291,2210
2000,680293,3300
2000,710310,402819
2000,711620,14264
2000,711790,3366
2000,740929,10716
2000,760120,60507
2000,760200,67992
2000,903289,6342
2000,940360,26349
2000,940380,18278
2000,940490,226
2000,960621,208797
2000,960622,16012
2000,960629,31028
2001,21090,2562
2001,30239,2883881
2001,30263,21710
2001,30269,5793837
2001,30341,454073
2001,30349,584615
2001,30379,108759
2001,30490,7315
2001,30611,4302897
2001,30613,28832708
2001,50300,6292
2001,50610,8300
2001,50690,62480
2001,50790,14500
2001,51000,10257
2001,51199,110323
2001,70200,38954
2001,70930,13115
2001,70960,8288
2001,70990,90014
2001,71420,7910
2001,80119,1160
2001,80132,19010342
2001,80300,6641811
2001,80430,156343
2001,80440,4040
2001,80450,2121633
2001,80530,187400
2001,80610,224586
2001,80711,841564
2001,80719,25987334
2001,80720,349657
2001,81190,51399
2001,130219,70539
2001,152110,4254403
2001,170199,16509448
2001,170410,3150286
2001,170490,7048601
2001,190110,130
2001,200600,653
2001,200819,74118
2001,200980,963821
2001,220710,125630
2001,230990,4150
2001,250100,10286467
2001,251611,72086
2001,251612,423736
2001,261100,140548
2001,261590,1475100
2001,261790,15810
2001,392190,128955
2001,392321,100
2001,392640,1716
2001,410422,2694003
2001,410431,24027
2001,482319,600
2001,520812,4492146
2001,520921,847
2001,520922,324639
2001,520931,3869
2001,520932,110271
2001,530890,55222
2001,540720,30506
2001,540771,44576
2001,551612,1529
2001,560721,319956
2001,560729,115220
2001,560890,500
2001,600210,1240
2001,610190,9960
2001,610343,197
2001,610349,24612
2001,610510,1616051
2001,610520,163930
2001,610610,104502
2001,610711,2116
2001,610910,28710235
2001,610990,598188
2001,611090,20095
2001,620342,309882
2001,620520,802469
2001,620530,60095
2001,630532,132570
2001,630533,918224
2001,640219,17647
2001,640319,8497
2001,640399,31146
2001,640411,106297
2001,640590,3676
2001,680291,1129
2001,680293,139686
2001,710310,195450
2001,711620,11281
2001,711790,5490
2001,811211,32750
2001,821000,6210
2001,841989,1609
2001,845150,40000
2001,870880,64
2001,901580,3500
2001,940360,15594
2001,940380,500
2001,960621,156990
2001,960622,9213
2001,960629,28761
2001,999100,8
2002,30239,4550338
2002,30269,6568775
2002,30339,835264
2002,30341,1670777
2002,30349,184550
2002,30379,156749
2002,30410,1170
2002,30420,1317
2002,30490,2210
2002,30611,6330800
2002,30613,47433644
2002,50100,1000
2002,50690,31500
2002,50790,23800
2002,51000,131910
2002,51199,8650
2002,70200,4646
2002,70990,8262
2002,80111,10074
2002,80119,4612
2002,80132,19098944
2002,80300,13571934
2002,80430,172199
2002,80450,994123
2002,80610,15600
2002,80711,1325106
2002,80719,24185797
2002,80720,1775901
2002,81190,660738
2002,90121,53158
2002,90122,27255
2002,130219,335166
2002,152110,4132557
2002,160520,286108
2002,170199,11934600
2002,170410,3560935
2002,170490,5689467
2002,200819,35932
2002,200980,596
2002,210390,8203
2002,220710,509313
2002,250100,8223662
2002,250621,2395
2002,251611,10574
2002,251612,870780
2002,253090,2980
2002,261590,179715
2002,270900,24063496
2002,321410,2648
2002,382000,1190499
2002,392190,806058
2002,392390,670
2002,410411,939845
2002,410419,12742
2002,410422,555178
2002,420221,2553
2002,420229,1463
2002,420330,4103
2002,460290,86
2002,482319,4370
2002,520812,4273068
2002,520852,84608
2002,520922,122404
2002,520932,62950
2002,520951,56849
2002,540110,71895
2002,551311,640170
2002,551319,505373
2002,560721,13094
2002,560729,86438
2002,560819,3101
2002,560890,5533
2002,590390,34077
2002,600210,454
2002,610462,93938
2002,610510,2793111
2002,610520,42708
2002,610711,167351
2002,610910,17700158
2002,610990,206
2002,611020,561847
2002,620342,5305
2002,620452,8650
2002,620462,351043
2002,620520,43375
2002,620530,1299
2002,630259,95
2002,630299,271
2002,630533,114857
2002,640319,4324
2002,640411,93900
2002,640419,1572
2002,640590,70638
2002,680100,7
2002,680223,3731
2002,680293,62959
2002,680299,2579
2002,691200,20
2002,691490,23
2002,710310,555993
2002,710399,17931
2002,711620,8300
2002,711790,2923
2002,810390,102200
2002,840310,6417
2002,844712,61882
2002,845221,153211
2002,845229,15778
2002,850980,5343
2002,940180,371
2002,940360,27846
2002,940390,1146
2002,950100,8515
2002,960621,28765
2002,960622,3932
2002,960719,13768
2002,970500,5230
2002,999100,54
2003,30239,4118101
2003,30263,10620
2003,30269,5877910
2003,30339,2223117
2003,30379,434600
2003,30611,5375114
2003,30613,71018161
2003,30614,6176
2003,30759,162778
2003,50400,12771
2003,50790,332515
2003,70990,13380
2003,80111,24434
2003,80119,65516
2003,80132,25794078
2003,80300,14759776
2003,80420,12313
2003,80430,432126
2003,80450,1733935
2003,80610,10368
2003,80711,2041744
2003,80719,39190158
2003,80720,5871901
2003,81190,364766
2003,90121,57184
2003,90122,8123
2003,120991,4200
2003,121220,564
2003,130219,288299
2003,130239,6460
2003,152110,4650392
2003,170199,12339025
2003,170410,3358680
2003,170490,9091145
2003,180690,4744
2003,200980,1452
2003,210111,307770
2003,210690,326
2003,220710,3951689
2003,250100,7302539
2003,251611,220862
2003,251612,651059
2003,261100,13460
2003,261590,355623
2003,270900,58959174
2003,283329,3933
2003,291900,6929
2003,340213,1865
2003,390950,13915
2003,392190,95625
2003,392321,131
2003,392340,121
2003,392390,300
2003,410411,522746
2003,410792,135581
2003,460290,267
2003,480419,2473
2003,482319,43
2003,520522,3497867
2003,520812,2742442
2003,520932,66279
2003,520942,1510660
2003,540110,82018
2003,551321,12095
2003,551341,36176
2003,560721,559775
2003,560729,148631
2003,560819,8751
2003,560890,3820
2003,590310,30676
2003,600622,989815
2003,600632,30723
2003,610462,420
2003,610463,26
2003,610510,144818
2003,610520,9849
2003,610711,2667
2003,610910,12941195
2003,610990,6742
2003,611020,24735
2003,611231,10830
2003,611241,12270
2003,620342,523385
2003,620452,6194
2003,620462,687649
2003,620520,130374
2003,620530,471
2003,620630,166724
2003,630221,246007
2003,630222,975575
2003,630229,33582
2003,630231,74388
2003,630232,80297
2003,630259,46217
2003,630260,4044
2003,630532,172568
2003,630533,774466
2003,640219,93
2003,640299,32746
2003,640319,7195
2003,640411,55541
2003,640419,6410
2003,640590,1356
2003,691110,641
2003,710310,188654
2003,711620,10641
2003,711719,1870
2003,711790,726
2003,730729,8247
2003,730830,160
2003,731815,6137
2003,732020,74
2003,732690,440
2003,760720,28799
2003,810390,137869
2003,811212,24056
2003,844790,69000
2003,847170,24177
2003,850780,19079
2003,920890,1380
2003,940350,8886
2003,940360,83813
2003,940380,7001
2003,950210,9519
2003,950370,6085
2003,950510,534
2003,960621,57288
2003,960622,18898
2003,960629,13983
2003,961700,8387
2004,30232,4106
2004,30239,5926986
2004,30269,4574869
2004,30341,140188
2004,30345,2161
2004,30349,449337
2004,30379,159837
2004,30410,342
2004,30611,8839819
2004,30613,82234821
2004,30614,46551
2004,30623,35465
2004,50690,27616
2004,50790,526752
2004,51199,264119
2004,70310,13000
2004,70990,165371
2004,80111,14794
2004,80119,46735
2004,80132,32789102
2004,80300,14812680
2004,80420,1555
2004,80430,215962
2004,80450,2449525
2004,80610,1680
2004,80711,2627301
2004,80719,45470193
2004,80720,4590010
2004,81090,6284
2004,81190,122337
2004,90420,22255
2004,121299,350
2004,130219,189612
2004,152110,5090053
2004,170199,11250862
2004,170410,4030111
2004,170490,10563823
2004,200980,159
2004,220710,4847700
2004,250100,5671895
2004,251611,242921
2004,251612,1541858
2004,252530,4000
2004,253090,3889
2004,261100,69797
2004,261590,65000
2004,270900,284242327
2004,330126,107806
2004,340420,1074
2004,340490,2628
2004,392190,4898903
2004,392340,20
2004,392390,575
2004,401699,164
2004,410411,60660
2004,410792,49650
2004,441400,1036
2004,441510,531
2004,442010,3594
2004,442190,18981
2004,460290,1965
2004,480419,2006
2004,482050,148
2004,482319,863
2004,520522,4670489
2004,520812,125829
2004,520922,243852
2004,520929,155458
2004,520941,42027
2004,520942,5816307
2004,521142,29235
2004,540110,47145
2004,560721,399241
2004,560729,31763
2004,560819,2574
2004,600622,2556690
2004,600624,119237
2004,610342,326
2004,610510,38194
2004,610520,7177
2004,610711,532852
2004,610910,11023090
2004,611231,35893
2004,611241,14291
2004,611420,8132
2004,620342,8448
2004,620452,1822
2004,620520,165194
2004,620530,2072
2004,620630,421290
2004,621710,89
2004,630221,797997
2004,630222,2281411
2004,630229,40881
2004,630231,162554
2004,630232,139096
