Data,Código SH6,Valor US$ FOB Mensal
1997-01,30269,3395
1997-01,30611,600068
1997-01,51199,5220
1997-01,80132,1773030
1997-01,80300,62229
1997-01,80450,407700
1997-01,80711,2000
1997-01,80719,2588579
1997-01,152110,354955
1997-01,170199,3982000
1997-01,170410,93303
1997-01,170490,294265
1997-01,200819,4000
1997-01,200980,43990
1997-01,250100,446394
1997-01,251612,15649
1997-01,291619,1828
1997-01,340520,125
1997-01,410429,881255
1997-01,520922,57952
1997-01,520932,192317
1997-01,560721,126500
1997-01,610910,14098
1997-01,630533,308
1997-01,640199,7072
1997-01,711620,6484
1997-01,960621,20552
1997-01,960622,13190
1997-02,30269,4589
1997-02,50690,33129
1997-02,50790,154690
1997-02,51199,3390
1997-02,80132,1923375
1997-02,80300,57199
1997-02,80450,224695
1997-02,80711,58550
1997-02,80719,3126575
1997-02,152110,207805
1997-02,170410,125568
1997-02,170490,332316
1997-02,200819,11249
1997-02,200980,68766
1997-02,250100,835187
1997-02,300390,16128
1997-02,410429,1366273
1997-02,520922,59469
1997-02,520932,473855
1997-02,560721,175260
1997-02,610910,3595
1997-02,960621,4937
1997-02,960622,6600
1997-02,960629,226
1997-03,30269,7566
1997-03,51199,5360
1997-03,80132,981355
1997-03,80300,57733
1997-03,80450,54403
1997-03,80711,7776
1997-03,80719,1693235
1997-03,130219,191731
1997-03,152110,267397
1997-03,170410,129705
1997-03,170490,164110
1997-03,200980,234700
1997-03,250100,1916
1997-03,261590,76096
1997-03,392620,111
1997-03,410429,1019938
1997-03,410431,61717
1997-03,520932,328618
1997-03,610910,15393
1997-03,640199,2208
1997-03,960621,8124
1997-03,960622,2995
1997-03,960629,1991
1997-04,30269,106996
1997-04,30379,82975
1997-04,50790,59478
1997-04,80132,1816000
1997-04,80300,157837
1997-04,80450,65921
1997-04,80719,1035131
1997-04,152110,72090
1997-04,170199,447000
1997-04,170410,275298
1997-04,170490,454714
1997-04,200980,137750
1997-04,250100,154869
1997-04,410429,983533
1997-04,410431,16250
1997-04,410900,22013
1997-04,520523,72132
1997-04,520922,43398
1997-04,520932,420461
1997-04,560721,135140
1997-04,560729,22500
1997-04,560890,540
1997-04,610910,6113
1997-04,640199,15140
1997-04,960621,21723
1997-04,960622,8345
1997-05,30269,149810
1997-05,50790,5207
1997-05,51199,7157
1997-05,80132,1665378
1997-05,80300,341739
1997-05,80450,9705
1997-05,80719,223560
1997-05,152110,208060
1997-05,170410,153686
1997-05,170490,499085
1997-05,180690,2508
1997-05,200980,103514
1997-05,250100,425804
1997-05,261590,351401
1997-05,291619,27075
1997-05,410429,1157579
1997-05,410619,46267
1997-05,520932,49635
1997-05,521215,29578
1997-05,551323,14
1997-05,551341,66653
1997-05,560721,21980
1997-05,610910,8540
1997-05,630533,580
