Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística,Data,Valor US$ FOB_mensal,Quilograma Líquido_mensal,Valor US$ FOB_anual,Quilograma Líquido_anual
0,3,0,2,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,12788,9801,9801,2024-10-01,1524439,1324675,1524439,1324675
0,3,0,2,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,215,96,96,2024-10-01,811265,145440,811265,145440
0,3,0,4,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,43394,33958,33958,2024-10-01,1524439,1324675,1524439,1324675
0,3,0,10,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,1800,1800,1800,2024-10-01,1524439,1324675,1524439,1324675
0,3,0,13,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,42259,31124,31124,2024-10-01,1524439,1324675,1524439,1324675
0,3,0,14,52112090,"Outros tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, branqueados",521120,"Tecidos de algodão, branqueados, com fibras sintéticas ou artificiais, contendo < 85% em peso de algodão, com peso > 200 g/m2",31,33,18,1,8,3,4,492,51,51,2024-10-01,17660,2607,17660,2607
0,3,1,1,5100090,"Outras substâncias de animais, para preparação de produtos farmacêuticos",51000,"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo",3,38,1,15,0,0,4,382354,24668,24668,2024-10-01,382354,24668,382354,24668
0,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,55636,94640,94640,2024-10-01,17343784,25287186,17343784,25287186
0,3,1,1,31010000,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal",310100,"Adubos ou fertilizantes de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente",26,0,15,0,5,10,4,141052,225000,225000,2024-10-01,361533,628600,361533,628600
1,2,2,19,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,36777,81648,81648,2024-10-01,8220351,15957359,8220351,15957359
1,2,2,19,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,108964,136862,136862,2024-10-01,17343784,25287186,17343784,25287186
2,5,1,15,76020000,"Desperdícios e resíduos, de alumínio",760200,"Desperdícios e resíduos, de alumínio",34,10,21,2,11,5,4,40367,22678,22678,2024-10-01,77080,44728,77080,44728
3,4,1,15,3061110,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) inteiras, congeladas",30611,Lagostas congeladas,2,9,0,16,0,0,4,23491,1160,1160,2024-10-01,1209873,59612,1209873,59612
3,4,1,15,3061190,"Outras lagostas (Palinurus spp., Panulirus spp., Jasus spp.), congeladas, exceto as inteiras",30611,Lagostas congeladas,2,9,0,16,0,0,4,650,18,18,2024-10-01,1209873,59612,1209873,59612
3,4,1,15,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",13,29,6,3,3,11,4,19210,11040,11040,2024-10-01,1412743,776433,1412743,776433
3,4,1,17,3061110,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) inteiras, congeladas",30611,Lagostas congeladas,2,9,0,16,0,0,4,6386,320,320,2024-10-01,1209873,59612,1209873,59612
3,4,1,17,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",13,29,6,3,3,11,4,42336,23520,23520,2024-10-01,1412743,776433,1412743,776433
4,0,1,6,27101911,Querosenes de aviação,271019,"Outros óleos de petróleo ou de minerais betuminosos e preparações, exceto desperdícios",25,39,14,6,4,13,2,14876,11338,14,2024-10-01,457973,582495,457973,582495
5,2,2,0,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,25625,3682,3682,2024-10-01,811265,145440,811265,145440
5,2,2,0,52092900,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados",520929,"Outros tecidos de algodão branqueado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,2700,458,458,2024-10-01,94212,14718,94212,14718
5,2,2,0,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,89549,12877,12877,2024-10-01,746513,108051,746513,108051
5,2,2,0,52093900,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, tintos",520939,"Outros tecidos de algodão tinto, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,3168,534,534,2024-10-01,59397,7571,59397,7571
