Ano,Mês,UF do Produto,Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0317901 - IRF - AEROPORTO INTERNACIONAL PINTO MARTINS,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,12788,9801,9801
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0317901 - IRF - AEROPORTO INTERNACIONAL PINTO MARTINS,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,215,96,96
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0417901 - IRF - AEROPORTO INTERNACIONAL DOS GUARARAPES,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,43394,33958,33958
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,1800,1800,1800
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,42259,31124,31124
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS,52112090,"Outros tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, branqueados",521120,"Tecidos de algodão, branqueados, com fibras sintéticas ou artificiais, contendo < 85% em peso de algodão, com peso > 200 g/m2",5211,"Tecidos de algodão, contendo menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,492,51,51
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,MARITIMA,0317900 - ALF - FORTALEZA,5100090,"Outras substâncias de animais, para preparação de produtos farmacêuticos",51000,"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo",510,"Âmbar-cinzento, castóreo, algália e almíscar; bílis, mesmo seca; glândulas e outras substâncias de origem animal utilizadas na preparação de produtos farmacêuticos, frescas, refrigeradas, congeladas ou provisoriamente conservadas de outro modo",5,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",I,Animais vivos e produtos do reino animal,QUILOGRAMA LIQUIDO,382354,24668,24668
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,MARITIMA,0317900 - ALF - FORTALEZA,8071900,Melões frescos,80719,Melões frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,55636,94640,94640
2024,10. Outubro,Rio Grande do Norte,Alemanha,Europa,MARITIMA,0317900 - ALF - FORTALEZA,31010000,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal",310100,"Adubos ou fertilizantes de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente",3101,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal",31,Adubos (fertilizantes),VI,Produtos das indústrias químicas ou indústrias conexas,QUILOGRAMA LIQUIDO,141052,225000,225000
2024,10. Outubro,Rio Grande do Norte,Argentina,América do Sul,RODOVIARIA,0927900 - ALF - DIONÍSIO CERQUEIRA,8071100,Melancias frescas,80711,Melancias frescas,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,36777,81648,81648
